build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"f5dda7207","8196","Accelerate, Apple M1 Pro","Apple M1 Pro","MTL,BLAS","Bonsai-8B.gguf","qwen3 8B Q1_0","1152704128","8188548096","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","512","0","0","2026-04-05T19:26:52Z","1782151430","9466068","287.298594","1.521323"
"f5dda7207","8196","Accelerate, Apple M1 Pro","Apple M1 Pro","MTL,BLAS","Bonsai-8B.gguf","qwen3 8B Q1_0","1152704128","8188548096","2048","512","8","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","0","0","0","0","0","0","128","0","2026-04-05T19:26:59Z","3131353680","15092586","40.877521","0.196475"
